Q(MPa)	Defvolfluide	Q(MPa)	defvol
1.22E+02	1.83E-03	2.30E+00	4.40E-03
1.22E+02	1.83E-03	2.00E+00	4.40E-03
1.22E+02	1.83E-03	2.00E+00	4.40E-03
1.23E+02	1.83E-03	2.00E+00	4.40E-03
1.23E+02	1.83E-03	1.71E+00	4.40E-03
1.24E+02	1.83E-03	1.71E+00	4.40E-03
1.24E+02	1.83E-03	1.71E+00	4.40E-03
1.24E+02	1.84E-03	1.42E+00	4.40E-03
1.25E+02	1.84E-03	1.42E+00	4.40E-03
1.25E+02	1.85E-03	1.42E+00	4.40E-03
1.26E+02	1.85E-03	1.13E+00	4.40E-03
1.26E+02	1.85E-03	1.14E+00	4.40E-03
1.27E+02	1.86E-03	1.13E+00	4.40E-03
1.27E+02	1.87E-03	1.14E+00	4.40E-03
1.28E+02	1.88E-03	8.45E-01	4.40E-03
